sample,Test_size,alpha,actual_prop,pred_prop,abs_error,quantifier
2,15,0.2,0.2,0.08,0.12,MS
2,15,0.2,0.2,0.04,0.16,HDy
2,15,0.2,0.2,0.06,0.14,DyS
2,15,0.2,0.2,0.0,0.2,SORD
3,15,0.2,0.2,0.07,0.13,CC
3,15,0.2,0.2,0.56,0.36,ACC
3,15,0.2,0.2,0.22,0.02,PCC
3,15,0.2,0.2,0.12,0.08,PACC
3,15,0.2,0.2,0.61,0.41,X
3,15,0.2,0.2,0.21,0.01,MAX
3,15,0.2,0.2,0.14,0.06,T50
3,15,0.2,0.2,0.2,0.0,MS
3,15,0.2,0.2,0.27,0.07,HDy
3,15,0.2,0.2,0.58,0.38,DyS
3,15,0.2,0.2,0.51,0.31,SORD
1,15,0.5,0.47,0.13,0.34,CC
1,15,0.5,0.47,1.0,0.53,ACC
1,15,0.5,0.47,0.22,0.25,PCC
1,15,0.5,0.47,1.0,0.53,PACC
1,15,0.5,0.47,0.08,0.39,X
1,15,0.5,0.47,0.05,0.42,MAX
1,15,0.5,0.47,0.14,0.33,T50
1,15,0.5,0.47,0.78,0.31,MS
1,15,0.5,0.47,0.25,0.22,HDy
1,15,0.5,0.47,0.17,0.3,DyS
1,15,0.5,0.47,0.51,0.04,SORD
2,15,0.5,0.47,0.13,0.34,CC
2,15,0.5,0.47,1.0,0.53,ACC
2,15,0.5,0.47,0.24,0.23,PCC
2,15,0.5,0.47,0.75,0.28,PACC
2,15,0.5,0.47,0.88,0.41,X
2,15,0.5,0.47,0.46,0.01,MAX
2,15,0.5,0.47,0.4,0.07,T50
2,15,0.5,0.47,0.72,0.25,MS
2,15,0.5,0.47,0.67,0.2,HDy
2,15,0.5,0.47,0.69,0.22,DyS
2,15,0.5,0.47,0.77,0.3,SORD
3,15,0.5,0.47,0.0,0.47,CC
3,15,0.5,0.47,0.0,0.47,ACC
3,15,0.5,0.47,0.16,0.31,PCC
3,15,0.5,0.47,0.0,0.47,PACC
3,15,0.5,0.47,0.19,0.28,X
3,15,0.5,0.47,0.05,0.42,MAX
3,15,0.5,0.47,0.14,0.33,T50
3,15,0.5,0.47,0.11,0.36,MS
3,15,0.5,0.47,0.17,0.3,HDy
3,15,0.5,0.47,0.1,0.37,DyS
3,15,0.5,0.47,0.0,0.47,SORD
1,15,0.8,0.8,0.07,0.73,CC
1,15,0.8,0.8,0.56,0.24,ACC
1,15,0.8,0.8,0.25,0.55,PCC
1,15,0.8,0.8,0.5,0.3,PACC
1,15,0.8,0.8,0.35,0.45,X
1,15,0.8,0.8,0.46,0.34,MAX
1,15,0.8,0.8,0.65,0.15,T50
1,15,0.8,0.8,0.89,0.09,MS
1,15,0.8,0.8,0.66,0.14,HDy
1,15,0.8,0.8,0.69,0.11,DyS
1,15,0.8,0.8,0.76,0.04,SORD
2,15,0.8,0.8,0.07,0.73,CC
2,15,0.8,0.8,0.56,0.24,ACC
2,15,0.8,0.8,0.23,0.57,PCC
2,15,0.8,0.8,0.12,0.68,PACC
2,15,0.8,0.8,1.0,0.2,X
2,15,0.8,0.8,0.72,0.08,MAX
2,15,0.8,0.8,0.65,0.15,T50
2,15,0.8,0.8,0.29,0.51,MS
2,15,0.8,0.8,0.5,0.3,HDy
2,15,0.8,0.8,0.68,0.12,DyS
2,15,0.8,0.8,0.67,0.13,SORD
3,15,0.8,0.8,0.13,0.67,CC
3,15,0.8,0.8,1.0,0.2,ACC
3,15,0.8,0.8,0.3,0.5,PCC
3,15,0.8,0.8,1.0,0.2,PACC
3,15,0.8,0.8,1.0,0.2,X
3,15,0.8,0.8,0.72,0.08,MAX
3,15,0.8,0.8,0.91,0.11,T50
3,15,0.8,0.8,1.0,0.2,MS
3,15,0.8,0.8,0.77,0.03,HDy
3,15,0.8,0.8,0.85,0.05,DyS
3,15,0.8,0.8,1.0,0.2,SORD
1,20,0.2,0.2,0.0,0.2,CC
1,20,0.2,0.2,0.0,0.2,ACC
1,20,0.2,0.2,0.13,0.07,PCC
1,20,0.2,0.2,0.0,0.2,PACC
1,20,0.2,0.2,0.52,0.32,X
1,20,0.2,0.2,0.12,0.08,MAX
1,20,0.2,0.2,0.31,0.11,T50
1,20,0.2,0.2,0.22,0.02,MS
1,20,0.2,0.2,0.02,0.18,HDy
1,20,0.2,0.2,0.0,0.2,DyS
1,20,0.2,0.2,0.0,0.2,SORD
2,20,0.2,0.2,0.05,0.15,CC
2,20,0.2,0.2,0.33,0.13,ACC
2,20,0.2,0.2,0.16,0.04,PCC
2,20,0.2,0.2,0.12,0.08,PACC
2,20,0.2,0.2,0.08,0.12,X
2,20,0.2,0.2,0.31,0.11,MAX
2,20,0.2,0.2,0.31,0.11,T50
2,20,0.2,0.2,0.14,0.06,MS
2,20,0.2,0.2,0.01,0.19,HDy
2,20,0.2,0.2,0.02,0.18,DyS
2,20,0.2,0.2,0.0,0.2,SORD
3,20,0.2,0.2,0.05,0.15,CC
3,20,0.2,0.2,0.33,0.13,ACC
3,20,0.2,0.2,0.18,0.02,PCC
3,20,0.2,0.2,0.12,0.08,PACC
3,20,0.2,0.2,0.28,0.08,X
3,20,0.2,0.2,0.27,0.07,MAX
3,20,0.2,0.2,0.27,0.07,T50
3,20,0.2,0.2,0.14,0.06,MS
3,20,0.2,0.2,0.06,0.14,HDy
3,20,0.2,0.2,0.23,0.03,DyS
3,20,0.2,0.2,0.16,0.04,SORD
1,20,0.5,0.5,0.15,0.35,CC
1,20,0.5,0.5,1.0,0.5,ACC
1,20,0.5,0.5,0.28,0.22,PCC
1,20,0.5,0.5,1.0,0.5,PACC
1,20,0.5,0.5,1.0,0.5,X
1,20,0.5,0.5,1.0,0.5,MAX
1,20,0.5,0.5,1.0,0.5,T50
1,20,0.5,0.5,1.0,0.5,MS
1,20,0.5,0.5,0.85,0.35,HDy
1,20,0.5,0.5,0.96,0.46,DyS
1,20,0.5,0.5,1.0,0.5,SORD
2,20,0.5,0.5,0.1,0.4,CC
2,20,0.5,0.5,0.89,0.39,ACC
2,20,0.5,0.5,0.22,0.28,PCC
2,20,0.5,0.5,0.62,0.12,PACC
2,20,0.5,0.5,0.48,0.02,X
2,20,0.5,0.5,0.65,0.15,MAX
2,20,0.5,0.5,0.65,0.15,T50
2,20,0.5,0.5,0.57,0.07,MS
2,20,0.5,0.5,0.16,0.34,HDy
2,20,0.5,0.5,0.33,0.17,DyS
2,20,0.5,0.5,0.49,0.01,SORD
3,20,0.5,0.5,0.05,0.45,CC
3,20,0.5,0.5,0.33,0.17,ACC
3,20,0.5,0.5,0.23,0.27,PCC
3,20,0.5,0.5,0.12,0.38,PACC
3,20,0.5,0.5,1.0,0.5,X
3,20,0.5,0.5,0.85,0.35,MAX
3,20,0.5,0.5,1.0,0.5,T50
3,20,0.5,0.5,0.43,0.07,MS
3,20,0.5,0.5,0.63,0.13,HDy
3,20,0.5,0.5,0.76,0.26,DyS
3,20,0.5,0.5,0.65,0.15,SORD
1,20,0.8,0.8,0.1,0.7,CC
1,20,0.8,0.8,0.89,0.09,ACC
1,20,0.8,0.8,0.26,0.54,PCC
1,20,0.8,0.8,0.75,0.05,PACC
1,20,0.8,0.8,1.0,0.2,X
1,20,0.8,0.8,0.65,0.15,MAX
1,20,0.8,0.8,0.85,0.05,T50
1,20,0.8,0.8,1.0,0.2,MS
1,20,0.8,0.8,0.62,0.18,HDy
1,20,0.8,0.8,0.7,0.1,DyS
1,20,0.8,0.8,0.86,0.06,SORD
2,20,0.8,0.8,0.2,0.6,CC
2,20,0.8,0.8,1.0,0.2,ACC
2,20,0.8,0.8,0.34,0.46,PCC
2,20,0.8,0.8,1.0,0.2,PACC
2,20,0.8,0.8,1.0,0.2,X
2,20,0.8,0.8,1.0,0.2,MAX
2,20,0.8,0.8,1.0,0.2,T50
2,20,0.8,0.8,1.0,0.2,MS
2,20,0.8,0.8,1.0,0.2,HDy
2,20,0.8,0.8,1.0,0.2,DyS
2,20,0.8,0.8,1.0,0.2,SORD
3,20,0.8,0.8,0.1,0.7,CC
3,20,0.8,0.8,0.89,0.09,ACC
3,20,0.8,0.8,0.25,0.55,PCC
3,20,0.8,0.8,0.5,0.3,PACC
3,20,0.8,0.8,0.88,0.08,X
3,20,0.8,0.8,0.85,0.05,MAX
3,20,0.8,0.8,0.85,0.05,T50
3,20,0.8,0.8,0.77,0.03,MS
3,20,0.8,0.8,0.47,0.33,HDy
3,20,0.8,0.8,0.66,0.14,DyS
3,20,0.8,0.8,0.83,0.03,SORD
1,25,0.2,0.2,0.04,0.16,CC
1,25,0.2,0.2,0.22,0.02,ACC
1,25,0.2,0.2,0.15,0.05,PCC
1,25,0.2,0.2,0.0,0.2,PACC
1,25,0.2,0.2,0.08,0.12,X
1,25,0.2,0.2,0.15,0.05,MAX
1,25,0.2,0.2,0.04,0.16,T50
1,25,0.2,0.2,0.08,0.12,MS
1,25,0.2,0.2,0.0,0.2,HDy
1,25,0.2,0.2,0.03,0.17,DyS
1,25,0.2,0.2,0.0,0.2,SORD
2,25,0.2,0.2,0.04,0.16,CC
2,25,0.2,0.2,0.22,0.02,ACC
2,25,0.2,0.2,0.16,0.04,PCC
2,25,0.2,0.2,0.12,0.08,PACC
2,25,0.2,0.2,0.24,0.04,X
2,25,0.2,0.2,0.0,0.2,MAX
2,25,0.2,0.2,0.12,0.08,T50
2,25,0.2,0.2,0.17,0.03,MS
2,25,0.2,0.2,0.02,0.18,HDy
2,25,0.2,0.2,0.0,0.2,DyS
2,25,0.2,0.2,0.0,0.2,SORD
3,25,0.2,0.2,0.04,0.16,CC
3,25,0.2,0.2,0.22,0.02,ACC
3,25,0.2,0.2,0.15,0.05,PCC
3,25,0.2,0.2,0.0,0.2,PACC
3,25,0.2,0.2,0.08,0.12,X
3,25,0.2,0.2,0.31,0.11,MAX
3,25,0.2,0.2,0.19,0.01,T50
3,25,0.2,0.2,0.1,0.1,MS
3,25,0.2,0.2,0.0,0.2,HDy
3,25,0.2,0.2,0.04,0.16,DyS
3,25,0.2,0.2,0.0,0.2,SORD
1,25,0.5,0.48,0.04,0.44,CC
1,25,0.5,0.48,0.22,0.26,ACC
1,25,0.5,0.48,0.23,0.25,PCC
1,25,0.5,0.48,0.25,0.23,PACC
1,25,0.5,0.48,0.56,0.08,X
1,25,0.5,0.48,0.62,0.14,MAX
1,25,0.5,0.48,0.65,0.17,T50
1,25,0.5,0.48,0.6,0.12,MS
1,25,0.5,0.48,0.39,0.09,HDy
1,25,0.5,0.48,0.42,0.06,DyS
1,25,0.5,0.48,0.58,0.1,SORD
2,25,0.5,0.48,0.08,0.4,CC
2,25,0.5,0.48,0.67,0.19,ACC
2,25,0.5,0.48,0.21,0.27,PCC
2,25,0.5,0.48,0.25,0.23,PACC
2,25,0.5,0.48,0.56,0.08,X
2,25,0.5,0.48,0.46,0.02,MAX
2,25,0.5,0.48,0.65,0.17,T50
2,25,0.5,0.48,0.43,0.05,MS
2,25,0.5,0.48,0.26,0.22,HDy
2,25,0.5,0.48,0.52,0.04,DyS
2,25,0.5,0.48,0.53,0.05,SORD
3,25,0.5,0.48,0.08,0.4,CC
3,25,0.5,0.48,0.67,0.19,ACC
3,25,0.5,0.48,0.2,0.28,PCC
3,25,0.5,0.48,0.38,0.1,PACC
3,25,0.5,0.48,0.24,0.24,X
3,25,0.5,0.48,0.31,0.17,MAX
3,25,0.5,0.48,0.19,0.29,T50
3,25,0.5,0.48,0.31,0.17,MS
3,25,0.5,0.48,0.12,0.36,HDy
3,25,0.5,0.48,0.28,0.2,DyS
3,25,0.5,0.48,0.31,0.17,SORD
1,25,0.8,0.8,0.08,0.72,CC
1,25,0.8,0.8,0.67,0.13,ACC
1,25,0.8,0.8,0.27,0.53,PCC
1,25,0.8,0.8,0.5,0.3,PACC
1,25,0.8,0.8,1.0,0.2,X
1,25,0.8,0.8,0.92,0.12,MAX
1,25,0.8,0.8,0.96,0.16,T50
1,25,0.8,0.8,1.0,0.2,MS
1,25,0.8,0.8,1.0,0.2,HDy
1,25,0.8,0.8,1.0,0.2,DyS
1,25,0.8,0.8,1.0,0.2,SORD
2,25,0.8,0.8,0.2,0.6,CC
2,25,0.8,0.8,1.0,0.2,ACC
2,25,0.8,0.8,0.28,0.52,PCC
2,25,0.8,0.8,1.0,0.2,PACC
2,25,0.8,0.8,0.56,0.24,X
2,25,0.8,0.8,0.46,0.34,MAX
2,25,0.8,0.8,0.65,0.15,T50
2,25,0.8,0.8,1.0,0.2,MS
2,25,0.8,0.8,0.55,0.25,HDy
2,25,0.8,0.8,0.71,0.09,DyS
2,25,0.8,0.8,0.89,0.09,SORD
3,25,0.8,0.8,0.04,0.76,CC
3,25,0.8,0.8,0.22,0.58,ACC
3,25,0.8,0.8,0.17,0.63,PCC
3,25,0.8,0.8,0.12,0.68,PACC
3,25,0.8,0.8,0.08,0.72,X
3,25,0.8,0.8,0.15,0.65,MAX
3,25,0.8,0.8,0.04,0.76,T50
3,25,0.8,0.8,0.17,0.63,MS
3,25,0.8,0.8,0.02,0.78,HDy
3,25,0.8,0.8,0.01,0.79,DyS
3,25,0.8,0.8,0.04,0.76,SORD
1,30,0.2,0.2,0.07,0.13,CC
1,30,0.2,0.2,0.56,0.36,ACC
1,30,0.2,0.2,0.16,0.04,PCC
1,30,0.2,0.2,0.38,0.18,PACC
1,30,0.2,0.2,0.05,0.15,X
1,30,0.2,0.2,0.05,0.15,MAX
1,30,0.2,0.2,0.24,0.04,T50
1,30,0.2,0.2,0.14,0.06,MS
1,30,0.2,0.2,0.0,0.2,HDy
1,30,0.2,0.2,0.0,0.2,DyS
1,30,0.2,0.2,0.0,0.2,SORD
2,30,0.2,0.2,0.03,0.17,CC
2,30,0.2,0.2,0.11,0.09,ACC
2,30,0.2,0.2,0.18,0.02,PCC
2,30,0.2,0.2,0.0,0.2,PACC
2,30,0.2,0.2,0.21,0.01,X
2,30,0.2,0.2,0.33,0.13,MAX
2,30,0.2,0.2,0.4,0.2,T50
2,30,0.2,0.2,0.14,0.06,MS
2,30,0.2,0.2,0.13,0.07,HDy
2,30,0.2,0.2,0.14,0.06,DyS
2,30,0.2,0.2,0.09,0.11,SORD
3,30,0.2,0.2,0.0,0.2,CC
3,30,0.2,0.2,0.0,0.2,ACC
3,30,0.2,0.2,0.15,0.05,PCC
3,30,0.2,0.2,0.0,0.2,PACC
3,30,0.2,0.2,0.32,0.12,X
3,30,0.2,0.2,0.18,0.02,MAX
3,30,0.2,0.2,0.01,0.19,T50
3,30,0.2,0.2,0.11,0.09,MS
3,30,0.2,0.2,0.01,0.19,HDy
3,30,0.2,0.2,0.0,0.2,DyS
3,30,0.2,0.2,0.0,0.2,SORD
1,30,0.5,0.5,0.1,0.4,CC
1,30,0.5,0.5,1.0,0.5,ACC
1,30,0.5,0.5,0.24,0.26,PCC
1,30,0.5,0.5,1.0,0.5,PACC
1,30,0.5,0.5,0.48,0.02,X
1,30,0.5,0.5,0.59,0.09,MAX
1,30,0.5,0.5,0.53,0.03,T50
1,30,0.5,0.5,0.96,0.46,MS
1,30,0.5,0.5,0.31,0.19,HDy
1,30,0.5,0.5,0.45,0.05,DyS
1,30,0.5,0.5,0.66,0.16,SORD
2,30,0.5,0.5,0.1,0.4,CC
2,30,0.5,0.5,0.89,0.39,ACC
2,30,0.5,0.5,0.23,0.27,PCC
2,30,0.5,0.5,0.75,0.25,PACC
2,30,0.5,0.5,0.48,0.02,X
2,30,0.5,0.5,0.21,0.29,MAX
2,30,0.5,0.5,0.27,0.23,T50
2,30,0.5,0.5,0.85,0.35,MS
2,30,0.5,0.5,0.26,0.24,HDy
2,30,0.5,0.5,0.29,0.21,DyS
2,30,0.5,0.5,0.42,0.08,SORD
3,30,0.5,0.5,0.0,0.5,CC
3,30,0.5,0.5,0.0,0.5,ACC
3,30,0.5,0.5,0.18,0.32,PCC
3,30,0.5,0.5,0.0,0.5,PACC
3,30,0.5,0.5,0.05,0.45,X
3,30,0.5,0.5,0.21,0.29,MAX
3,30,0.5,0.5,0.4,0.1,T50
3,30,0.5,0.5,0.14,0.36,MS
3,30,0.5,0.5,0.17,0.33,HDy
3,30,0.5,0.5,0.09,0.41,DyS
3,30,0.5,0.5,0.13,0.37,SORD
1,30,0.8,0.8,0.03,0.77,CC
1,30,0.8,0.8,0.11,0.69,ACC
1,30,0.8,0.8,0.2,0.6,PCC
1,30,0.8,0.8,0.0,0.8,PACC
1,30,0.8,0.8,0.61,0.19,X
1,30,0.8,0.8,0.59,0.21,MAX
1,30,0.8,0.8,0.78,0.02,T50
1,30,0.8,0.8,0.17,0.63,MS
1,30,0.8,0.8,0.26,0.54,HDy
1,30,0.8,0.8,0.41,0.39,DyS
1,30,0.8,0.8,0.46,0.34,SORD
2,30,0.8,0.8,0.17,0.63,CC
2,30,0.8,0.8,1.0,0.2,ACC
2,30,0.8,0.8,0.27,0.53,PCC
2,30,0.8,0.8,1.0,0.2,PACC
2,30,0.8,0.8,0.75,0.05,X
2,30,0.8,0.8,0.85,0.05,MAX
2,30,0.8,0.8,1.0,0.2,T50
2,30,0.8,0.8,1.0,0.2,MS
2,30,0.8,0.8,0.68,0.12,HDy
2,30,0.8,0.8,0.84,0.04,DyS
2,30,0.8,0.8,1.0,0.2,SORD
3,30,0.8,0.8,0.07,0.73,CC
3,30,0.8,0.8,0.89,0.09,ACC
3,30,0.8,0.8,0.22,0.58,PCC
3,30,0.8,0.8,0.5,0.3,PACC
3,30,0.8,0.8,0.48,0.32,X
3,30,0.8,0.8,0.72,0.08,MAX
3,30,0.8,0.8,0.65,0.15,T50
3,30,0.8,0.8,0.47,0.33,MS
3,30,0.8,0.8,0.23,0.57,HDy
3,30,0.8,0.8,0.46,0.34,DyS
3,30,0.8,0.8,0.6,0.2,SORD
1,35,0.2,0.2,0.03,0.17,CC
1,35,0.2,0.2,0.11,0.09,ACC
1,35,0.2,0.2,0.19,0.01,PCC
1,35,0.2,0.2,0.0,0.2,PACC
1,35,0.2,0.2,0.54,0.34,X
1,35,0.2,0.2,0.79,0.59,MAX
1,35,0.2,0.2,0.76,0.56,T50
1,35,0.2,0.2,0.11,0.09,MS
1,35,0.2,0.2,0.25,0.05,HDy
1,35,0.2,0.2,0.29,0.09,DyS
1,35,0.2,0.2,0.31,0.11,SORD
2,35,0.2,0.2,0.06,0.14,CC
2,35,0.2,0.2,0.44,0.24,ACC
2,35,0.2,0.2,0.2,0.0,PCC
2,35,0.2,0.2,0.38,0.18,PACC
2,35,0.2,0.2,0.19,0.01,X
2,35,0.2,0.2,0.13,0.07,MAX
2,35,0.2,0.2,0.32,0.12,T50
2,35,0.2,0.2,0.48,0.28,MS
2,35,0.2,0.2,0.04,0.16,HDy
2,35,0.2,0.2,0.2,0.0,DyS
2,35,0.2,0.2,0.35,0.15,SORD
3,35,0.2,0.2,0.03,0.17,CC
3,35,0.2,0.2,0.11,0.09,ACC
3,35,0.2,0.2,0.2,0.0,PCC
3,35,0.2,0.2,0.0,0.2,PACC
3,35,0.2,0.2,0.54,0.34,X
3,35,0.2,0.2,0.57,0.37,MAX
3,35,0.2,0.2,0.43,0.23,T50
3,35,0.2,0.2,0.25,0.05,MS
3,35,0.2,0.2,0.24,0.04,HDy
3,35,0.2,0.2,0.24,0.04,DyS
3,35,0.2,0.2,0.39,0.19,SORD
1,35,0.5,0.49,0.14,0.35,CC
1,35,0.5,0.49,1.0,0.51,ACC
1,35,0.5,0.49,0.26,0.23,PCC
1,35,0.5,0.49,0.87,0.38,PACC
1,35,0.5,0.49,0.88,0.39,X
1,35,0.5,0.49,0.68,0.19,MAX
1,35,0.5,0.49,0.76,0.27,T50
1,35,0.5,0.49,0.95,0.46,MS
1,35,0.5,0.49,0.6,0.11,HDy
1,35,0.5,0.49,0.83,0.34,DyS
1,35,0.5,0.49,0.92,0.43,SORD
2,35,0.5,0.49,0.09,0.4,CC
2,35,0.5,0.49,0.78,0.29,ACC
2,35,0.5,0.49,0.24,0.25,PCC
2,35,0.5,0.49,0.38,0.11,PACC
2,35,0.5,0.49,0.88,0.39,X
2,35,0.5,0.49,0.9,0.41,MAX
2,35,0.5,0.49,0.76,0.27,T50
2,35,0.5,0.49,0.69,0.2,MS
2,35,0.5,0.49,0.45,0.04,HDy
2,35,0.5,0.49,0.7,0.21,DyS
2,35,0.5,0.49,0.8,0.31,SORD
3,35,0.5,0.49,0.0,0.49,CC
3,35,0.5,0.49,0.0,0.49,ACC
3,35,0.5,0.49,0.21,0.28,PCC
3,35,0.5,0.49,0.0,0.49,PACC
3,35,0.5,0.49,0.99,0.5,X
3,35,0.5,0.49,0.79,0.3,MAX
3,35,0.5,0.49,0.87,0.38,T50
3,35,0.5,0.49,0.14,0.35,MS
3,35,0.5,0.49,0.48,0.01,HDy
3,35,0.5,0.49,0.56,0.07,DyS
3,35,0.5,0.49,0.53,0.04,SORD
1,35,0.8,0.8,0.14,0.66,CC
1,35,0.8,0.8,1.0,0.2,ACC
1,35,0.8,0.8,0.29,0.51,PCC
1,35,0.8,0.8,1.0,0.2,PACC
1,35,0.8,0.8,0.99,0.19,X
1,35,0.8,0.8,1.0,0.2,MAX
1,35,0.8,0.8,1.0,0.2,T50
1,35,0.8,0.8,1.0,0.2,MS
1,35,0.8,0.8,0.69,0.11,HDy
1,35,0.8,0.8,0.78,0.02,DyS
1,35,0.8,0.8,1.0,0.2,SORD
2,35,0.8,0.8,0.2,0.6,CC
2,35,0.8,0.8,1.0,0.2,ACC
2,35,0.8,0.8,0.3,0.5,PCC
2,35,0.8,0.8,1.0,0.2,PACC
2,35,0.8,0.8,0.88,0.08,X
2,35,0.8,0.8,0.9,0.1,MAX
2,35,0.8,0.8,0.98,0.18,T50
2,35,0.8,0.8,1.0,0.2,MS
2,35,0.8,0.8,0.66,0.14,HDy
2,35,0.8,0.8,0.93,0.13,DyS
2,35,0.8,0.8,1.0,0.2,SORD
3,35,0.8,0.8,0.06,0.74,CC
3,35,0.8,0.8,0.44,0.36,ACC
3,35,0.8,0.8,0.22,0.58,PCC
3,35,0.8,0.8,0.25,0.55,PACC
3,35,0.8,0.8,0.42,0.38,X
3,35,0.8,0.8,0.57,0.23,MAX
3,35,0.8,0.8,0.65,0.15,T50
3,35,0.8,0.8,0.49,0.31,MS
