sample,Test_size,alpha,actual_prop,pred_prop,abs_error,quantifier
1,10,0.2,0.2,0.2,0.0,CC
1,10,0.2,0.2,0.19,0.01,ACC
1,10,0.2,0.2,0.21,0.01,PCC
1,10,0.2,0.2,0.19,0.01,PACC
1,10,0.2,0.2,0.19,0.01,X
1,10,0.2,0.2,0.19,0.01,MAX
1,10,0.2,0.2,0.23,0.03,T50
1,10,0.2,0.2,0.19,0.01,MS
1,10,0.2,0.2,0.22,0.02,HDy
1,10,0.2,0.2,0.21,0.01,DyS
1,10,0.2,0.2,0.19,0.01,SORD
2,10,0.2,0.2,0.2,0.0,CC
2,10,0.2,0.2,0.19,0.01,ACC
2,10,0.2,0.2,0.21,0.01,PCC
2,10,0.2,0.2,0.19,0.01,PACC
2,10,0.2,0.2,0.19,0.01,X
2,10,0.2,0.2,0.19,0.01,MAX
2,10,0.2,0.2,0.23,0.03,T50
2,10,0.2,0.2,0.19,0.01,MS
2,10,0.2,0.2,0.23,0.03,HDy
2,10,0.2,0.2,0.21,0.01,DyS
2,10,0.2,0.2,0.19,0.01,SORD
3,10,0.2,0.2,0.2,0.0,CC
3,10,0.2,0.2,0.19,0.01,ACC
3,10,0.2,0.2,0.2,0.0,PCC
3,10,0.2,0.2,0.19,0.01,PACC
3,10,0.2,0.2,0.19,0.01,X
3,10,0.2,0.2,0.19,0.01,MAX
3,10,0.2,0.2,0.23,0.03,T50
3,10,0.2,0.2,0.19,0.01,MS
3,10,0.2,0.2,0.23,0.03,HDy
3,10,0.2,0.2,0.21,0.01,DyS
3,10,0.2,0.2,0.19,0.01,SORD
1,10,0.5,0.5,0.5,0.0,CC
1,10,0.5,0.5,0.5,0.0,ACC
1,10,0.5,0.5,0.48,0.02,PCC
1,10,0.5,0.5,0.47,0.03,PACC
1,10,0.5,0.5,0.5,0.0,X
1,10,0.5,0.5,0.5,0.0,MAX
1,10,0.5,0.5,0.34,0.16,T50
1,10,0.5,0.5,0.49,0.01,MS
1,10,0.5,0.5,0.45,0.05,HDy
1,10,0.5,0.5,0.45,0.05,DyS
1,10,0.5,0.5,0.49,0.01,SORD
2,10,0.5,0.5,0.5,0.0,CC
2,10,0.5,0.5,0.5,0.0,ACC
2,10,0.5,0.5,0.5,0.0,PCC
2,10,0.5,0.5,0.5,0.0,PACC
2,10,0.5,0.5,0.5,0.0,X
2,10,0.5,0.5,0.5,0.0,MAX
2,10,0.5,0.5,0.57,0.07,T50
2,10,0.5,0.5,0.5,0.0,MS
2,10,0.5,0.5,0.51,0.01,HDy
2,10,0.5,0.5,0.5,0.0,DyS
2,10,0.5,0.5,0.5,0.0,SORD
3,10,0.5,0.5,0.5,0.0,CC
3,10,0.5,0.5,0.5,0.0,ACC
3,10,0.5,0.5,0.52,0.02,PCC
3,10,0.5,0.5,0.5,0.0,PACC
3,10,0.5,0.5,0.5,0.0,X
3,10,0.5,0.5,0.5,0.0,MAX
3,10,0.5,0.5,0.57,0.07,T50
3,10,0.5,0.5,0.51,0.01,MS
3,10,0.5,0.5,0.59,0.09,HDy
3,10,0.5,0.5,0.51,0.01,DyS
3,10,0.5,0.5,0.51,0.01,SORD
1,10,0.8,0.8,0.7,0.1,CC
1,10,0.8,0.8,0.7,0.1,ACC
1,10,0.8,0.8,0.75,0.05,PCC
1,10,0.8,0.8,0.7,0.1,PACC
1,10,0.8,0.8,0.81,0.01,X
1,10,0.8,0.8,0.7,0.1,MAX
1,10,0.8,0.8,0.8,0.0,T50
1,10,0.8,0.8,0.74,0.06,MS
1,10,0.8,0.8,0.77,0.03,HDy
1,10,0.8,0.8,0.75,0.05,DyS
1,10,0.8,0.8,0.75,0.05,SORD
2,10,0.8,0.8,0.7,0.1,CC
2,10,0.8,0.8,0.7,0.1,ACC
2,10,0.8,0.8,0.68,0.12,PCC
2,10,0.8,0.8,0.68,0.12,PACC
2,10,0.8,0.8,0.7,0.1,X
2,10,0.8,0.8,0.7,0.1,MAX
2,10,0.8,0.8,0.68,0.12,T50
2,10,0.8,0.8,0.7,0.1,MS
2,10,0.8,0.8,0.74,0.06,HDy
2,10,0.8,0.8,0.66,0.14,DyS
2,10,0.8,0.8,0.7,0.1,SORD
3,10,0.8,0.8,0.8,0.0,CC
3,10,0.8,0.8,0.81,0.01,ACC
3,10,0.8,0.8,0.8,0.0,PCC
3,10,0.8,0.8,0.81,0.01,PACC
3,10,0.8,0.8,0.81,0.01,X
3,10,0.8,0.8,0.81,0.01,MAX
3,10,0.8,0.8,0.91,0.11,T50
3,10,0.8,0.8,0.81,0.01,MS
3,10,0.8,0.8,0.79,0.01,HDy
3,10,0.8,0.8,0.78,0.02,DyS
3,10,0.8,0.8,0.81,0.01,SORD
1,15,0.2,0.2,0.2,0.0,CC
